ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
1,"White",2014,"2014",58001,4945,"Franklin County, WA","05000US53021","franklin-county-wa"
9,"Hispanic",2014,"2014",42048,11372,"Chelan County, WA","05000US53007","chelan-county-wa"
1,"White",2014,"2014",60123,2649,"Benton County, WA","05000US53005","benton-county-wa"
7,"Two Or More",2014,"2014",63187,19826,"Thurston County, WA","05000US53067","thurston-county-wa"
2,"Black",2014,"2014",55601,17413,"Snohomish County, WA","05000US53061","snohomish-county-wa"
2,"Black",2014,"2014",34478,22492,"Skagit County, WA","05000US53057","skagit-county-wa"
9,"Hispanic",2014,"2014",38036,5670,"Clallam County, WA","05000US53009","clallam-county-wa"
6,"Other",2014,"2014",40787,17256,"Skagit County, WA","05000US53057","skagit-county-wa"
0,"Total",2014,"2014",50249,2060,"Spokane County, WA","05000US53063","spokane-county-wa"
4,"Asian",2014,"2014",43375,18121,"Island County, WA","05000US53029","island-county-wa"
9,"Hispanic",2014,"2014",43194,8054.000000000001,"Clark County, WA","05000US53011","clark-county-wa"
6,"Other",2014,"2014",42456,9028,"Pierce County, WA","05000US53053","pierce-county-wa"
2,"Black",2014,"2014",49618,3580.9999999999995,"Pierce County, WA","05000US53053","pierce-county-wa"
2,"Black",2014,"2014",37810,11070,"Lewis County, WA","05000US53041","lewis-county-wa"
7,"Two Or More",2014,"2014",34167,6406,"Whatcom County, WA","05000US53073","whatcom-county-wa"
9,"Hispanic",2014,"2014",35523,9177,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
7,"Two Or More",2014,"2014",96182,88801,"Franklin County, WA","05000US53021","franklin-county-wa"
6,"Other",2014,"2014",31274,23430,"Whatcom County, WA","05000US53073","whatcom-county-wa"
2,"Black",2014,"2014",46152,25896,"Kitsap County, WA","05000US53035","kitsap-county-wa"
0,"Total",2014,"2014",61741,1371,"Clark County, WA","05000US53011","clark-county-wa"
9,"Hispanic",2014,"2014",48982,10016,"Franklin County, WA","05000US53021","franklin-county-wa"
4,"Asian",2014,"2014",57189,16503,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
5,"Pacific Islander",2014,"2014",49646,40351,"Kitsap County, WA","05000US53035","kitsap-county-wa"
2,"Black",2014,"2014",38838,4327,"King County, WA","05000US53033","king-county-wa"
9,"Hispanic",2014,"2014",53321,6753.000000000001,"Grant County, WA","05000US53025","grant-county-wa"
7,"Two Or More",2014,"2014",50025,21268,"Yakima County, WA","05000US53077","yakima-county-wa"
6,"Other",2014,"2014",51305,16537,"Grant County, WA","05000US53025","grant-county-wa"
2,"Black",2014,"2014",68374,27720.999999999996,"Island County, WA","05000US53029","island-county-wa"
2,"Black",2014,"2014",53604,32199,"Grant County, WA","05000US53025","grant-county-wa"
9,"Hispanic",2014,"2014",32706,11244,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
5,"Pacific Islander",2014,"2014",61326,20759,"King County, WA","05000US53033","king-county-wa"
1,"White",2014,"2014",52352,4981,"Grant County, WA","05000US53025","grant-county-wa"
4,"Asian",2014,"2014",89012,44966,"Franklin County, WA","05000US53021","franklin-county-wa"
0,"Total",2014,"2014",59934,4322,"Island County, WA","05000US53029","island-county-wa"
9,"Hispanic",2014,"2014",41250,25488,"Island County, WA","05000US53029","island-county-wa"
8,"White Non-Hispanic",2014,"2014",61236,2979,"Benton County, WA","05000US53005","benton-county-wa"
7,"Two Or More",2014,"2014",44652,13480,"Grant County, WA","05000US53025","grant-county-wa"
2,"Black",2014,"2014",43281,19294,"Clark County, WA","05000US53011","clark-county-wa"
4,"Asian",2014,"2014",29094,27800.999999999996,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
9,"Hispanic",2014,"2014",51314,4108,"King County, WA","05000US53033","king-county-wa"
6,"Other",2014,"2014",43833,4836,"King County, WA","05000US53033","king-county-wa"
2,"Black",2014,"2014",36350,34507,"Benton County, WA","05000US53005","benton-county-wa"
8,"White Non-Hispanic",2014,"2014",51511,5808,"Chelan County, WA","05000US53007","chelan-county-wa"
0,"Total",2014,"2014",46469,4951,"Clallam County, WA","05000US53009","clallam-county-wa"
9,"Hispanic",2014,"2014",56546,6217,"Kitsap County, WA","05000US53035","kitsap-county-wa"
0,"Total",2014,"2014",53665,2845,"Whatcom County, WA","05000US53073","whatcom-county-wa"
1,"White",2014,"2014",43977,2976,"Yakima County, WA","05000US53077","yakima-county-wa"
4,"Asian",2014,"2014",69874,7639,"Clark County, WA","05000US53011","clark-county-wa"
9,"Hispanic",2014,"2014",39116,26559,"Lewis County, WA","05000US53041","lewis-county-wa"
4,"Asian",2014,"2014",56619,26140,"Clallam County, WA","05000US53009","clallam-county-wa"
1,"White",2014,"2014",54890,3415.0000000000005,"Whatcom County, WA","05000US53073","whatcom-county-wa"
1,"White",2014,"2014",43247,2656,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
1,"White",2014,"2014",50406,6242,"Chelan County, WA","05000US53007","chelan-county-wa"
1,"White",2014,"2014",61472,2893,"Thurston County, WA","05000US53067","thurston-county-wa"
9,"Hispanic",2014,"2014",47213,7153,"Pierce County, WA","05000US53053","pierce-county-wa"
8,"White Non-Hispanic",2014,"2014",48433,5321,"Clallam County, WA","05000US53009","clallam-county-wa"
6,"Other",2014,"2014",61097,18520,"Snohomish County, WA","05000US53061","snohomish-county-wa"
4,"Asian",2014,"2014",52207,45770,"Yakima County, WA","05000US53077","yakima-county-wa"
4,"Asian",2014,"2014",177150,114035,"Benton County, WA","05000US53005","benton-county-wa"
9,"Hispanic",2014,"2014",41423,7393.999999999999,"Skagit County, WA","05000US53057","skagit-county-wa"
7,"Two Or More",2014,"2014",46944,12484,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
1,"White",2014,"2014",51418,1655,"Spokane County, WA","05000US53063","spokane-county-wa"
8,"White Non-Hispanic",2014,"2014",63572,1849.0000000000002,"Clark County, WA","05000US53011","clark-county-wa"
0,"Total",2014,"2014",50177,6745.999999999999,"Chelan County, WA","05000US53007","chelan-county-wa"
9,"Hispanic",2014,"2014",54824,7393.999999999999,"Snohomish County, WA","05000US53061","snohomish-county-wa"
0,"Total",2014,"2014",60496,1535,"Pierce County, WA","05000US53053","pierce-county-wa"
1,"White",2014,"2014",72276,2153,"Snohomish County, WA","05000US53061","snohomish-county-wa"
3,"Native American",2014,"2014",45224,6396,"Yakima County, WA","05000US53077","yakima-county-wa"
9,"Hispanic",2014,"2014",52018,4133,"Spokane County, WA","05000US53063","spokane-county-wa"
0,"Total",2014,"2014",58093,2708,"Benton County, WA","05000US53005","benton-county-wa"
1,"White",2014,"2014",51310,3800,"Skagit County, WA","05000US53057","skagit-county-wa"
6,"Other",2014,"2014",46642,7129.000000000001,"Yakima County, WA","05000US53077","yakima-county-wa"
1,"White",2014,"2014",63065,2404,"Pierce County, WA","05000US53053","pierce-county-wa"
9,"Hispanic",2014,"2014",68101,15344,"Thurston County, WA","05000US53067","thurston-county-wa"
8,"White Non-Hispanic",2014,"2014",44503,3767.9999999999995,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
1,"White",2014,"2014",60334,3965.9999999999995,"Island County, WA","05000US53029","island-county-wa"
7,"Two Or More",2014,"2014",60112,29126.999999999996,"Island County, WA","05000US53029","island-county-wa"
0,"Total",2014,"2014",71984,1780,"Snohomish County, WA","05000US53061","snohomish-county-wa"
9,"Hispanic",2014,"2014",37671,19084,"Whatcom County, WA","05000US53073","whatcom-county-wa"
3,"Native American",2014,"2014",48279,26962.999999999996,"Whatcom County, WA","05000US53073","whatcom-county-wa"
1,"White",2014,"2014",45073,5536,"Lewis County, WA","05000US53041","lewis-county-wa"
0,"Total",2014,"2014",43356,2589,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
8,"White Non-Hispanic",2014,"2014",64852,14742.999999999998,"Franklin County, WA","05000US53021","franklin-county-wa"
9,"Hispanic",2014,"2014",35768,2717,"Yakima County, WA","05000US53077","yakima-county-wa"
4,"Asian",2014,"2014",63417,31204,"Whatcom County, WA","05000US53073","whatcom-county-wa"
1,"White",2014,"2014",63402,2960,"Kitsap County, WA","05000US53035","kitsap-county-wa"
8,"White Non-Hispanic",2014,"2014",51964,5229,"Grant County, WA","05000US53025","grant-county-wa"
6,"Other",2013,"2013",35128,4562,"Skagit County, WA","05000US53057","skagit-county-wa"
1,"White",2013,"2013",40923,2460,"Lewis County, WA","05000US53041","lewis-county-wa"
1,"White",2013,"2013",60710,1393,"Pierce County, WA","05000US53053","pierce-county-wa"
4,"Asian",2013,"2013",87734,29318,"Lewis County, WA","05000US53041","lewis-county-wa"
7,"Two Or More",2013,"2013",39445,15407,"Skagit County, WA","05000US53057","skagit-county-wa"
8,"White Non-Hispanic",2013,"2013",68643,2464,"Snohomish County, WA","05000US53061","snohomish-county-wa"
3,"Native American",2013,"2013",28663,15175,"Yakima County, WA","05000US53077","yakima-county-wa"
0,"Total",2013,"2013",52448,2335,"Skagit County, WA","05000US53057","skagit-county-wa"
6,"Other",2013,"2013",42190,15337,"Snohomish County, WA","05000US53061","snohomish-county-wa"
5,"Pacific Islander",2013,"2013",45375,22898,"Skagit County, WA","05000US53057","skagit-county-wa"
0,"Total",2013,"2013",56631,8836,"Franklin County, WA","05000US53021","franklin-county-wa"
8,"White Non-Hispanic",2013,"2013",49113,1709,"Spokane County, WA","05000US53063","spokane-county-wa"
3,"Native American",2013,"2013",41643,30576,"Clark County, WA","05000US53011","clark-county-wa"
7,"Two Or More",2013,"2013",63181,12001,"Snohomish County, WA","05000US53061","snohomish-county-wa"
1,"White",2013,"2013",48905,1744,"Spokane County, WA","05000US53063","spokane-county-wa"
4,"Asian",2013,"2013",49693,5214,"Pierce County, WA","05000US53053","pierce-county-wa"
1,"White",2013,"2013",58923,2363,"Clark County, WA","05000US53011","clark-county-wa"
8,"White Non-Hispanic",2013,"2013",61368,2435,"Thurston County, WA","05000US53067","thurston-county-wa"
2,"Black",2013,"2013",26948,8302,"Spokane County, WA","05000US53063","spokane-county-wa"
0,"Total",2013,"2013",71834,1072,"King County, WA","05000US53033","king-county-wa"
7,"Two Or More",2013,"2013",29706,13395,"Spokane County, WA","05000US53063","spokane-county-wa"
0,"Total",2013,"2013",59785,2603,"Thurston County, WA","05000US53067","thurston-county-wa"
5,"Pacific Islander",2013,"2013",16010,6572,"Spokane County, WA","05000US53063","spokane-county-wa"
8,"White Non-Hispanic",2013,"2013",53295,4954,"Whatcom County, WA","05000US53073","whatcom-county-wa"
6,"Other",2013,"2013",64808,48978,"Thurston County, WA","05000US53067","thurston-county-wa"
1,"White",2013,"2013",53374,4123,"Island County, WA","05000US53029","island-county-wa"
1,"White",2013,"2013",67624,2156,"Snohomish County, WA","05000US53061","snohomish-county-wa"
7,"Two Or More",2013,"2013",28895,9001,"Thurston County, WA","05000US53067","thurston-county-wa"
3,"Native American",2013,"2013",40402,20219,"Pierce County, WA","05000US53053","pierce-county-wa"
8,"White Non-Hispanic",2013,"2013",49203,3062,"Yakima County, WA","05000US53077","yakima-county-wa"
4,"Asian",2013,"2013",102269,41285,"Skagit County, WA","05000US53057","skagit-county-wa"
6,"Other",2013,"2013",47802,22418,"Whatcom County, WA","05000US53073","whatcom-county-wa"
1,"White",2013,"2013",49389,3453.9999999999995,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
3,"Native American",2013,"2013",23874,21319,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
2,"Black",2013,"2013",48718,43938,"Benton County, WA","05000US53005","benton-county-wa"
9,"Hispanic",2013,"2013",43747,4915,"Benton County, WA","05000US53005","benton-county-wa"
4,"Asian",2013,"2013",75789,10525,"Snohomish County, WA","05000US53061","snohomish-county-wa"
6,"Other",2013,"2013",44659,4902,"Benton County, WA","05000US53005","benton-county-wa"
6,"Other",2013,"2013",29739,3160,"Yakima County, WA","05000US53077","yakima-county-wa"
1,"White",2013,"2013",49327,4986,"Grant County, WA","05000US53025","grant-county-wa"
0,"Total",2013,"2013",48417,3560,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
9,"Hispanic",2013,"2013",41460,17260,"Chelan County, WA","05000US53007","chelan-county-wa"
7,"Two Or More",2013,"2013",31010,11258,"Yakima County, WA","05000US53077","yakima-county-wa"
1,"White",2013,"2013",51284,2907,"Chelan County, WA","05000US53007","chelan-county-wa"
4,"Asian",2013,"2013",58428,19656,"Clark County, WA","05000US53011","clark-county-wa"
1,"White",2013,"2013",64048,11486,"Franklin County, WA","05000US53021","franklin-county-wa"
0,"Total",2013,"2013",57660,1731,"Pierce County, WA","05000US53053","pierce-county-wa"
9,"Hispanic",2013,"2013",22814,9013,"Clallam County, WA","05000US53009","clallam-county-wa"
7,"Two Or More",2013,"2013",61454,30497,"Benton County, WA","05000US53005","benton-county-wa"
8,"White Non-Hispanic",2013,"2013",61385,2615,"Benton County, WA","05000US53005","benton-county-wa"
0,"Total",2013,"2013",41917,2075,"Yakima County, WA","05000US53077","yakima-county-wa"
6,"Other",2013,"2013",49991,24786,"Chelan County, WA","05000US53007","chelan-county-wa"
9,"Hispanic",2013,"2013",43511,5000,"Clark County, WA","05000US53011","clark-county-wa"
4,"Asian",2013,"2013",39283,7378,"Spokane County, WA","05000US53063","spokane-county-wa"
3,"Native American",2013,"2013",52909,14503.000000000002,"Skagit County, WA","05000US53057","skagit-county-wa"
0,"Total",2013,"2013",51893,3484,"Island County, WA","05000US53029","island-county-wa"
8,"White Non-Hispanic",2013,"2013",53339,4388,"Chelan County, WA","05000US53007","chelan-county-wa"
7,"Two Or More",2013,"2013",60365,47972,"Chelan County, WA","05000US53007","chelan-county-wa"
9,"Hispanic",2013,"2013",34155,32025,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
2,"Black",2013,"2013",60700,11902,"Thurston County, WA","05000US53067","thurston-county-wa"
7,"Two Or More",2013,"2013",35753,14363.000000000002,"Clallam County, WA","05000US53009","clallam-county-wa"
1,"White",2013,"2013",51956,4691,"Whatcom County, WA","05000US53073","whatcom-county-wa"
6,"Other",2013,"2013",35994,12770,"Clark County, WA","05000US53011","clark-county-wa"
8,"White Non-Hispanic",2013,"2013",48655,3417,"Clallam County, WA","05000US53009","clallam-county-wa"
9,"Hispanic",2013,"2013",33987,6642,"Franklin County, WA","05000US53021","franklin-county-wa"
1,"White",2013,"2013",53554,3154,"Skagit County, WA","05000US53057","skagit-county-wa"
4,"Asian",2013,"2013",36825,16507,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
4,"Asian",2013,"2013",62065,18464,"Thurston County, WA","05000US53067","thurston-county-wa"
7,"Two Or More",2013,"2013",41952,12705,"Clark County, WA","05000US53011","clark-county-wa"
0,"Total",2013,"2013",57588,2105,"Clark County, WA","05000US53011","clark-county-wa"
9,"Hispanic",2013,"2013",33963,6593,"Grant County, WA","05000US53025","grant-county-wa"
1,"White",2013,"2013",64175,3371,"Kitsap County, WA","05000US53035","kitsap-county-wa"
8,"White Non-Hispanic",2013,"2013",59648,2403,"Clark County, WA","05000US53011","clark-county-wa"
0,"Total",2013,"2013",47576,1817,"Spokane County, WA","05000US53063","spokane-county-wa"
6,"Other",2013,"2013",21150,15992,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
3,"Native American",2013,"2013",59491,11617,"Snohomish County, WA","05000US53061","snohomish-county-wa"
9,"Hispanic",2013,"2013",47327,20364,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
3,"Native American",2013,"2013",70852,48411,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
4,"Asian",2013,"2013",81080,9365,"Franklin County, WA","05000US53021","franklin-county-wa"
8,"White Non-Hispanic",2013,"2013",49468,3749.0000000000005,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
2,"Black",2013,"2013",50754,3848,"Pierce County, WA","05000US53053","pierce-county-wa"
4,"Asian",2013,"2013",58681,26148,"Whatcom County, WA","05000US53073","whatcom-county-wa"
9,"Hispanic",2013,"2013",53718,23785,"Island County, WA","05000US53029","island-county-wa"
6,"Other",2013,"2013",28407,11669,"Franklin County, WA","05000US53021","franklin-county-wa"
0,"Total",2013,"2013",40601,2373,"Lewis County, WA","05000US53041","lewis-county-wa"
2,"Black",2013,"2013",20050,13932,"Yakima County, WA","05000US53077","yakima-county-wa"
8,"White Non-Hispanic",2013,"2013",71215,5678,"Franklin County, WA","05000US53021","franklin-county-wa"
2,"Black",2013,"2013",130743,100358,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
9,"Hispanic",2013,"2013",48308,7250,"King County, WA","05000US53033","king-county-wa"
1,"White",2013,"2013",47909,3334,"Clallam County, WA","05000US53009","clallam-county-wa"
3,"Native American",2013,"2013",27220,26069,"Spokane County, WA","05000US53063","spokane-county-wa"
4,"Asian",2013,"2013",23333,22454,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
0,"Total",2013,"2013",41315,4597,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
8,"White Non-Hispanic",2013,"2013",53112,6145,"Grant County, WA","05000US53025","grant-county-wa"
9,"Hispanic",2013,"2013",45876,22593,"Kitsap County, WA","05000US53035","kitsap-county-wa"
6,"Other",2013,"2013",36711,17441,"Grant County, WA","05000US53025","grant-county-wa"
4,"Asian",2013,"2013",62698,33920,"Yakima County, WA","05000US53077","yakima-county-wa"
2,"Black",2013,"2013",27387,18756,"Island County, WA","05000US53029","island-county-wa"
3,"Native American",2013,"2013",48770,27773,"Island County, WA","05000US53029","island-county-wa"
0,"Total",2013,"2013",46566,3259,"Clallam County, WA","05000US53009","clallam-county-wa"
9,"Hispanic",2013,"2013",29729,24646,"Lewis County, WA","05000US53041","lewis-county-wa"
1,"White",2013,"2013",76560,1778.0000000000002,"King County, WA","05000US53033","king-county-wa"
8,"White Non-Hispanic",2013,"2013",41024,4697,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
4,"Asian",2013,"2013",50213,26814,"Island County, WA","05000US53029","island-county-wa"
6,"Other",2013,"2013",46726,27914,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
5,"Pacific Islander",2013,"2013",120973,90642,"Clark County, WA","05000US53011","clark-county-wa"
3,"Native American",2013,"2013",47267,32737,"Benton County, WA","05000US53005","benton-county-wa"
9,"Hispanic",2013,"2013",44402,5660,"Pierce County, WA","05000US53053","pierce-county-wa"
0,"Total",2013,"2013",67394,1735.0000000000002,"Snohomish County, WA","05000US53061","snohomish-county-wa"
8,"White Non-Hispanic",2013,"2013",52843,4220,"Island County, WA","05000US53029","island-county-wa"
6,"Other",2013,"2013",47472,12447,"King County, WA","05000US53033","king-county-wa"
2,"Black",2013,"2013",50580,34316,"Clark County, WA","05000US53011","clark-county-wa"
3,"Native American",2013,"2013",51406,13665.999999999998,"Thurston County, WA","05000US53067","thurston-county-wa"
9,"Hispanic",2013,"2013",40861,6544,"Skagit County, WA","05000US53057","skagit-county-wa"
0,"Total",2013,"2013",50186,4300,"Whatcom County, WA","05000US53073","whatcom-county-wa"
7,"Two Or More",2013,"2013",58239,9340,"King County, WA","05000US53033","king-county-wa"
8,"White Non-Hispanic",2013,"2013",78927,1942,"King County, WA","05000US53033","king-county-wa"
5,"Pacific Islander",2013,"2013",52733,6401,"King County, WA","05000US53033","king-county-wa"
1,"White",2013,"2013",60861,2523,"Thurston County, WA","05000US53067","thurston-county-wa"
9,"Hispanic",2013,"2013",53876,6223,"Snohomish County, WA","05000US53061","snohomish-county-wa"
6,"Other",2013,"2013",32146,25072,"Kitsap County, WA","05000US53035","kitsap-county-wa"
3,"Native American",2013,"2013",42060,6061,"King County, WA","05000US53033","king-county-wa"
4,"Asian",2013,"2013",75555,3590,"King County, WA","05000US53033","king-county-wa"
8,"White Non-Hispanic",2013,"2013",65118,3303,"Kitsap County, WA","05000US53035","kitsap-county-wa"
0,"Total",2013,"2013",51101,2605,"Chelan County, WA","05000US53007","chelan-county-wa"
9,"Hispanic",2013,"2013",41539,11505,"Spokane County, WA","05000US53063","spokane-county-wa"
7,"Two Or More",2013,"2013",60932,15520.000000000002,"Kitsap County, WA","05000US53035","kitsap-county-wa"
1,"White",2013,"2013",41338,4808,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
3,"Native American",2013,"2013",26000,12583,"Clallam County, WA","05000US53009","clallam-county-wa"
2,"Black",2013,"2013",55803,15205,"Snohomish County, WA","05000US53061","snohomish-county-wa"
0,"Total",2013,"2013",46728,4277,"Grant County, WA","05000US53025","grant-county-wa"
9,"Hispanic",2013,"2013",45293,20364,"Thurston County, WA","05000US53067","thurston-county-wa"
8,"White Non-Hispanic",2013,"2013",41122,2304,"Lewis County, WA","05000US53041","lewis-county-wa"
3,"Native American",2013,"2013",37378,8848,"Whatcom County, WA","05000US53073","whatcom-county-wa"
0,"Total",2013,"2013",62672,2671,"Kitsap County, WA","05000US53035","kitsap-county-wa"
7,"Two Or More",2013,"2013",33477,7034.999999999999,"Lewis County, WA","05000US53041","lewis-county-wa"
1,"White",2013,"2013",60814,2599,"Benton County, WA","05000US53005","benton-county-wa"
9,"Hispanic",2013,"2013",33739,4533,"Whatcom County, WA","05000US53073","whatcom-county-wa"
6,"Other",2013,"2013",36400,10005,"Pierce County, WA","05000US53053","pierce-county-wa"
4,"Asian",2013,"2013",76608,8917,"Kitsap County, WA","05000US53035","kitsap-county-wa"
8,"White Non-Hispanic",2013,"2013",61583,1433,"Pierce County, WA","05000US53053","pierce-county-wa"
2,"Black",2013,"2013",33955,3632.0000000000005,"King County, WA","05000US53033","king-county-wa"
1,"White",2013,"2013",45922,3188,"Yakima County, WA","05000US53077","yakima-county-wa"
9,"Hispanic",2013,"2013",35600,4845,"Yakima County, WA","05000US53077","yakima-county-wa"
5,"Pacific Islander",2013,"2013",53111,34720,"Pierce County, WA","05000US53053","pierce-county-wa"
7,"Two Or More",2013,"2013",53190,4198,"Pierce County, WA","05000US53053","pierce-county-wa"
3,"Native American",2013,"2013",22107,18033,"Kitsap County, WA","05000US53035","kitsap-county-wa"
8,"White Non-Hispanic",2013,"2013",54953,3569,"Skagit County, WA","05000US53057","skagit-county-wa"
0,"Total",2013,"2013",58997,2392,"Benton County, WA","05000US53005","benton-county-wa"